Gender,Age,Ethnicity,Educational_Level,Income,Country_region,Hotel_Type,Adults,Children,Babies,Meal_Type,Visted_Previously,Previous_Cancellations,Deposit_type,Booking_channel,Required_Car_Parking,Reservation_Status,Use_Promotion,Discount_Rate,Room_Rate,Lead_Time,Total Nights,Checkin_Month,Checkin_Day_of_Week,Is_Weekend,Total_Guests
F,32,Asian American,High-School,25K --50K,South,Airport Hotels,5,1,1,BB,Yes,Yes,No Deposit,Agent,Yes,Check-Out,Yes,20,211,56,2,6,0,0,7
M,22,Latino,High-School,25K --50K,East,City Hotel,2,1,0,BB,No,No,Refundable,Agent,Yes,Check-Out,Yes,20,190,13,2,7,2,0,3
F,26,African American,High-School,50K -- 100K,West,City Hotel,3,1,1,BB,Yes,No,No Deposit,Direct,Yes,Check-Out,Yes,10,161,13,3,7,3,0,5
M,48,African American,Mid-School,<25K,South,Resort,2,1,1,HB,No,No,No Deposit,Direct,No,Check-Out,Yes,10,146,142,1,3,3,0,4
F,46,Asian American,Grad,<25K,South,Airport Hotels,3,2,0,BB,No,No,No Deposit,Online,Yes,Check-Out,Yes,40,173,141,2,3,3,0,5
F,56,Latino,Grad,25K --50K,East,City Hotel,2,1,0,BB,No,No,Refundable,Online,Yes,Check-Out,Yes,25,195,263,4,11,1,0,3
F,58,Asian American,Mid-School,50K -- 100K,North,City Hotel,1,1,0,HB,No,No,No Deposit,Direct,Yes,Check-Out,Yes,20,121,142,1,3,3,0,2
F,20,Latino,High-School,<25K,North,City Hotel,3,2,2,HB,Yes,No,Refundable,Agent,No,Check-Out,No,0,238,168,1,5,0,0,7
F,65,African American,Mid-School,<25K,South,Resort,3,2,1,BB,No,No,No Deposit,Online,No,Check-Out,No,0,127,158,4,7,1,0,6
M,27,African American,Mid-School,<25K,East,Resort,5,2,0,BB,No,No,No Deposit,Direct,Yes,Check-Out,Yes,10,145,245,2,8,0,0,7
F,29,caucasian,College,25K --50K,South,Airport Hotels,4,1,1,BB,No,No,No Deposit,Direct,Yes,Check-Out,No,0,157,21,3,7,0,0,6
F,36,African American,High-School,<25K,East,Airport Hotels,3,1,0,HB,No,No,Refundable,Online,No,Check-Out,Yes,10,113,20,3,7,5,1,4
F,45,Asian American,College,50K -- 100K,South,Resort,2,1,1,HB,No,No,No Deposit,Online,Yes,Check-Out,Yes,5,155,40,4,6,3,0,4
F,31,Asian American,College,50K -- 100K,West,City Hotel,2,2,0,BB,No,No,No Deposit,Direct,No,Check-Out,Yes,20,235,102,2,6,4,0,4
M,23,caucasian,Grad,<25K,West,Resort,3,2,1,BB,No,No,No Deposit,Online,No,Check-Out,Yes,20,104,348,1,6,1,0,6
F,20,African American,High-School,25K --50K,South,Airport Hotels,1,2,0,BB,No,No,No Deposit,Online,Yes,Check-Out,Yes,25,169,347,2,6,1,0,3
F,60,caucasian,High-School,<25K,East,City Hotel,1,2,1,HB,No,No,Non-Refundable,Direct,Yes,Check-Out,Yes,5,139,154,3,2,0,0,4
F,53,Asian American,College,<25K,North,Resort,1,2,0,BB,No,No,Refundable,Direct,No,Check-Out,Yes,20,105,198,1,1,0,0,3
M,20,Asian American,High-School,50K -- 100K,South,Resort,1,1,2,BB,Yes,Yes,No Deposit,Online,Yes,Check-Out,No,0,234,63,1,6,4,0,4
F,24,Latino,High-School,<25K,North,Resort,1,3,0,HB,No,No,Refundable,Online,Yes,Check-Out,No,0,250,92,1,5,1,0,4
M,22,Asian American,College,50K -- 100K,East,Airport Hotels,4,2,0,HB,Yes,No,Refundable,Online,Yes,Check-Out,Yes,25,162,90,1,5,4,0,6
M,56,African American,High-School,<25K,East,Airport Hotels,2,1,0,BB,Yes,No,No Deposit,Direct,Yes,Check-Out,No,0,236,97,1,7,5,1,3
F,46,caucasian,Grad,<25K,North,Resort,2,3,2,HB,Yes,No,No Deposit,Agent,Yes,Check-Out,Yes,30,108,97,3,6,0,0,7
F,64,caucasian,Grad,50K -- 100K,North,City Hotel,2,3,0,BB,No,No,Non-Refundable,Online,Yes,Check-Out,Yes,15,139,114,2,4,3,0,5
M,60,Asian American,High-School,>100K,North,Resort,2,2,0,HB,Yes,No,Refundable,Online,Yes,Check-Out,Yes,5,222,48,4,7,2,0,4
M,49,Asian American,Mid-School,50K -- 100K,West,Resort,2,2,0,BB,Yes,Yes,Refundable,Online,Yes,Check-Out,Yes,10,184,144,1,3,2,0,4
F,69,Asian American,Grad,<25K,East,Airport Hotels,3,1,0,HB,Yes,No,Refundable,Agent,Yes,Check-Out,Yes,10,229,94,2,7,1,0,4
M,32,Latino,High-School,<25K,South,Airport Hotels,3,1,0,HB,No,No,No Deposit,Direct,Yes,Check-Out,No,0,222,95,1,7,1,0,4
F,21,Latino,Grad,50K -- 100K,South,City Hotel,1,1,0,BB,No,No,No Deposit,Online,Yes,Check-Out,Yes,40,239,19,1,7,3,0,2
M,45,caucasian,College,<25K,South,Airport Hotels,1,3,0,BB,No,No,No Deposit,Direct,No,Check-Out,Yes,25,248,102,3,7,0,0,4
M,23,African American,College,25K --50K,South,City Hotel,1,1,1,HB,Yes,No,Refundable,Direct,Yes,Check-Out,Yes,20,146,149,2,7,6,1,3
F,59,African American,High-School,<25K,North,City Hotel,4,2,1,HB,No,No,Refundable,Online,Yes,Check-Out,Yes,10,112,43,1,6,4,0,7
M,38,Latino,College,50K -- 100K,East,Resort,1,1,0,BB,No,No,Refundable,Direct,No,Check-Out,Yes,5,160,46,1,7,0,0,2
M,42,caucasian,High-School,50K -- 100K,East,Airport Hotels,4,2,0,HB,Yes,No,No Deposit,Direct,No,Check-Out,Yes,10,241,207,3,1,4,0,6
F,68,caucasian,College,<25K,North,City Hotel,2,2,1,BB,Yes,No,Refundable,Online,No,Check-Out,No,0,126,155,1,7,3,0,5
M,68,African American,High-School,25K --50K,East,Airport Hotels,3,3,1,BB,No,No,No Deposit,Agent,Yes,Check-Out,Yes,5,231,155,1,7,3,0,7
M,67,Latino,High-School,<25K,South,City Hotel,2,1,0,BB,Yes,Yes,Refundable,Online,No,Check-Out,Yes,40,217,161,1,7,3,0,3
F,22,Asian American,Grad,<25K,South,Resort,1,1,0,BB,No,No,No Deposit,Online,Yes,Check-Out,Yes,10,232,145,4,3,3,0,2
M,18,African American,College,25K --50K,West,City Hotel,2,3,0,BB,Yes,No,No Deposit,Online,Yes,Check-Out,Yes,10,217,148,1,3,3,0,5
M,48,caucasian,Grad,<25K,North,Airport Hotels,3,2,0,BB,No,No,No Deposit,Direct,Yes,Check-Out,Yes,20,142,148,1,3,3,0,5
F,32,Asian American,Grad,50K -- 100K,South,Airport Hotels,2,1,0,BB,No,No,No Deposit,Direct,Yes,Check-Out,No,0,238,148,1,3,3,0,3
F,22,African American,Mid-School,50K -- 100K,South,City Hotel,2,1,0,HB,Yes,No,No Deposit,Online,Yes,Check-Out,Yes,5,105,176,1,2,0,0,3
F,31,caucasian,College,25K --50K,North,City Hotel,2,2,0,BB,No,No,Refundable,Direct,No,Check-Out,Yes,20,217,103,2,4,3,0,4
M,29,Latino,College,>100K,East,City Hotel,2,1,0,BB,No,No,No Deposit,Online,No,Check-Out,Yes,10,224,3,1,8,2,0,3
M,51,Latino,Mid-School,>100K,West,Airport Hotels,5,2,0,BB,No,No,No Deposit,Online,No,Check-Out,Yes,10,188,30,3,7,3,0,7
F,47,caucasian,Mid-School,50K -- 100K,North,Airport Hotels,2,2,0,BB,Yes,No,No Deposit,Online,Yes,Check-Out,Yes,30,159,198,1,1,0,0,4
M,64,Asian American,Mid-School,<25K,West,Airport Hotels,4,1,0,BB,Yes,No,No Deposit,Direct,Yes,Check-Out,Yes,10,117,218,3,2,1,0,5
M,21,caucasian,Mid-School,<25K,South,Airport Hotels,3,1,0,BB,No,No,Non-Refundable,Online,No,Check-Out,Yes,40,117,32,1,7,2,0,4
F,35,Latino,Grad,50K -- 100K,South,City Hotel,5,2,1,BB,No,No,Refundable,Agent,Yes,Check-Out,Yes,20,238,154,1,4,2,0,8
M,31,Latino,Grad,25K --50K,South,Airport Hotels,2,1,1,BB,Yes,No,Refundable,Direct,No,Check-Out,No,0,132,154,2,7,1,0,4
M,56,caucasian,Grad,>100K,South,Airport Hotels,4,2,1,BB,No,No,No Deposit,Online,Yes,Check-Out,Yes,25,185,89,1,5,2,0,7
M,55,Latino,College,<25K,South,Airport Hotels,2,1,0,HB,No,No,No Deposit,Direct,Yes,Check-Out,No,0,246,15,1,7,1,0,3
M,59,caucasian,Mid-School,25K --50K,West,Resort,2,1,0,BB,Yes,No,No Deposit,Online,Yes,Check-Out,No,0,134,75,1,6,6,1,3
M,38,Latino,College,50K -- 100K,South,City Hotel,1,1,1,BB,No,No,Refundable,Direct,Yes,Check-Out,No,0,196,156,1,5,3,0,3
M,64,Asian American,High-School,<25K,East,Resort,5,1,1,HB,No,No,Refundable,Online,Yes,Check-Out,Yes,5,248,355,2,7,4,0,7
F,70,Latino,College,50K -- 100K,East,City Hotel,2,2,0,BB,Yes,No,No Deposit,Online,No,Check-Out,Yes,5,121,324,1,10,3,0,4
M,44,African American,Grad,<25K,North,Resort,5,3,1,BB,No,No,No Deposit,Online,Yes,Check-Out,Yes,20,147,99,1,5,1,0,9
F,31,caucasian,Grad,50K -- 100K,South,Airport Hotels,3,2,0,BB,No,No,Refundable,Online,Yes,Check-Out,Yes,20,203,167,1,2,0,0,5
M,47,Latino,Mid-School,<25K,North,Airport Hotels,2,2,1,BB,No,No,No Deposit,Agent,Yes,Check-Out,Yes,25,175,47,1,7,6,1,5
M,18,caucasian,Grad,50K -- 100K,South,Airport Hotels,4,1,0,BB,Yes,No,Refundable,Agent,Yes,Check-Out,Yes,10,122,167,1,2,0,0,5
F,27,Asian American,High-School,25K --50K,North,Airport Hotels,3,1,0,BB,Yes,Yes,No Deposit,Online,No,Check-Out,Yes,5,239,246,2,12,5,1,4
F,38,African American,High-School,>100K,West,Airport Hotels,1,1,0,BB,No,No,Refundable,Online,Yes,Check-Out,Yes,10,183,185,2,3,3,0,2
F,62,Asian American,High-School,<25K,East,Airport Hotels,5,1,0,BB,No,No,Refundable,Direct,Yes,Check-Out,Yes,5,243,124,1,7,4,0,6
F,42,African American,High-School,<25K,South,City Hotel,2,1,0,BB,Yes,Yes,No Deposit,Online,No,Check-Out,Yes,5,231,46,1,7,1,0,3
M,44,African American,College,>100K,South,Resort,2,1,0,BB,Yes,No,Refundable,Online,Yes,Check-Out,Yes,10,114,0,1,8,5,1,3
F,40,Latino,College,25K --50K,West,City Hotel,4,2,0,BB,No,No,Non-Refundable,Direct,Yes,Check-Out,Yes,25,206,40,4,7,2,0,6
F,60,caucasian,Grad,>100K,North,Airport Hotels,2,1,1,BB,No,No,No Deposit,Online,No,Check-Out,No,0,220,8,1,8,6,1,4
F,36,Asian American,Mid-School,50K -- 100K,South,Resort,2,2,1,BB,Yes,No,Refundable,Agent,Yes,Check-Out,Yes,25,155,286,4,6,1,0,5
F,27,African American,College,50K -- 100K,South,Resort,1,2,0,HB,No,No,No Deposit,Online,No,Check-Out,No,0,133,96,2,5,2,0,3
F,51,Latino,Grad,25K --50K,East,Resort,2,1,0,BB,Yes,Yes,Refundable,Agent,Yes,Check-Out,No,0,198,90,1,7,1,0,3
F,32,Asian American,High-School,25K --50K,South,City Hotel,1,1,0,BB,No,No,No Deposit,Online,No,Check-Out,Yes,10,240,51,1,7,4,0,2
M,38,Latino,Grad,50K -- 100K,South,Airport Hotels,5,1,0,BB,No,No,No Deposit,Online,Yes,Check-Out,Yes,25,119,147,1,6,1,0,6
M,63,caucasian,College,<25K,South,Airport Hotels,2,2,0,HB,No,No,No Deposit,Direct,No,Check-Out,Yes,10,173,164,3,6,1,0,4
F,66,Asian American,College,50K -- 100K,South,Resort,1,1,1,BB,No,No,No Deposit,Online,No,Check-Out,Yes,30,201,147,1,6,1,0,3
F,64,African American,College,<25K,South,Resort,2,3,0,HB,No,No,No Deposit,Online,No,Check-Out,No,0,113,90,1,5,6,1,5
F,46,caucasian,College,<25K,East,Resort,1,1,0,BB,No,No,No Deposit,Direct,Yes,Check-Out,Yes,40,219,207,1,1,1,0,2
M,43,African American,High-School,25K --50K,North,Resort,2,1,0,BB,No,No,No Deposit,Online,No,Check-Out,No,0,171,138,1,3,0,0,3
F,53,African American,College,<25K,West,City Hotel,1,2,0,BB,No,No,No Deposit,Online,Yes,Check-Out,Yes,10,175,137,2,3,0,0,3
F,29,Latino,Mid-School,25K --50K,North,Resort,2,1,1,BB,No,No,No Deposit,Direct,Yes,Check-Out,Yes,25,230,138,1,3,0,0,4
F,33,Latino,High-School,25K --50K,South,City Hotel,2,3,0,BB,Yes,Yes,No Deposit,Online,Yes,Check-Out,Yes,10,223,135,4,3,0,0,5
M,36,Asian American,College,>100K,West,Airport Hotels,1,2,2,BB,No,No,No Deposit,Online,Yes,Check-Out,Yes,20,175,138,3,6,6,1,5
M,64,caucasian,Mid-School,<25K,South,City Hotel,1,2,1,BB,No,No,No Deposit,Online,Yes,Check-Out,No,0,198,159,2,3,1,0,4
M,42,Latino,College,25K --50K,South,City Hotel,2,2,0,BB,Yes,Yes,No Deposit,Online,Yes,Check-Out,Yes,25,189,255,2,7,0,0,4
F,31,Latino,High-School,50K -- 100K,South,Resort,3,1,1,BB,Yes,No,Refundable,Online,Yes,Check-Out,Yes,5,108,241,4,3,1,0,5
F,61,Asian American,Grad,50K -- 100K,East,Resort,1,1,0,BB,Yes,No,No Deposit,Direct,No,Check-Out,Yes,40,214,288,2,3,4,0,2
M,59,Asian American,College,<25K,East,City Hotel,3,2,0,BB,No,No,Refundable,Direct,Yes,Check-Out,Yes,15,137,328,1,8,4,0,5
M,55,Asian American,Mid-School,>100K,South,Airport Hotels,2,1,0,BB,Yes,Yes,Non-Refundable,Online,Yes,Check-Out,Yes,40,234,233,3,6,1,0,3
F,31,African American,College,<25K,South,Airport Hotels,2,3,0,HB,No,No,Refundable,Direct,No,Check-Out,Yes,30,160,57,3,6,3,0,5
M,25,Latino,Mid-School,>100K,North,Resort,5,3,0,HB,Yes,Yes,No Deposit,Direct,No,Check-Out,Yes,5,189,57,3,6,1,0,8
F,32,Latino,Mid-School,>100K,South,Airport Hotels,2,3,0,BB,No,No,Refundable,Online,Yes,Check-Out,No,0,213,21,1,7,4,0,5
M,21,Latino,College,50K -- 100K,East,City Hotel,1,1,0,BB,No,No,No Deposit,Direct,No,Check-Out,No,0,138,21,1,7,4,0,2
M,42,Asian American,College,50K -- 100K,East,Resort,5,1,0,HB,No,No,Refundable,Online,Yes,Check-Out,No,0,104,58,2,6,1,0,6
M,47,caucasian,Mid-School,25K --50K,South,Resort,1,1,2,HB,No,No,No Deposit,Direct,No,Check-Out,Yes,10,194,12,1,7,2,0,4
F,40,Asian American,College,<25K,North,City Hotel,2,2,0,BB,No,No,No Deposit,Online,Yes,Check-Out,Yes,30,111,148,2,3,0,0,4
M,19,Asian American,College,<25K,East,City Hotel,3,1,0,BB,No,No,No Deposit,Direct,Yes,Check-Out,Yes,5,175,52,3,6,1,0,4
F,27,Asian American,College,>100K,South,Airport Hotels,3,3,0,HB,No,No,No Deposit,Online,Yes,Check-Out,Yes,40,150,112,1,4,3,0,6
M,45,African American,College,<25K,South,Airport Hotels,2,1,2,HB,No,No,No Deposit,Direct,No,Check-Out,No,0,145,29,1,7,3,0,5
F,63,Asian American,College,25K --50K,East,City Hotel,1,1,1,BB,Yes,Yes,Refundable,Agent,Yes,Check-Out,Yes,30,141,343,3,8,5,1,3
M,23,Latino,Grad,50K -- 100K,West,City Hotel,1,3,1,HB,No,No,No Deposit,Online,Yes,Check-Out,Yes,15,183,159,2,7,4,0,5
M,61,caucasian,College,<25K,North,Resort,2,1,1,BB,No,No,Non-Refundable,Online,No,Check-Out,Yes,10,155,153,4,3,0,0,4
F,68,caucasian,College,>100K,North,Resort,2,1,0,BB,No,No,No Deposit,Online,No,Check-Out,No,0,184,117,2,4,1,0,3
M,57,caucasian,High-School,50K -- 100K,South,Airport Hotels,2,1,0,HB,Yes,No,Non-Refundable,Direct,Yes,Check-Out,Yes,20,120,199,2,8,3,0,3
F,45,African American,College,50K -- 100K,South,City Hotel,2,2,0,BB,No,No,No Deposit,Online,Yes,Check-Out,Yes,20,133,64,1,6,0,0,4
F,42,African American,Grad,<25K,East,Resort,4,1,0,HB,No,No,Refundable,Online,Yes,Check-Out,Yes,20,125,124,2,6,2,0,5
F,63,Latino,College,25K --50K,North,Airport Hotels,4,2,0,HB,No,No,Refundable,Agent,Yes,Check-Out,Yes,10,238,200,1,8,3,0,6
F,59,Asian American,High-School,<25K,South,Resort,1,1,0,HB,No,No,No Deposit,Agent,Yes,Check-Out,Yes,20,127,156,1,7,0,0,2
M,32,African American,Grad,25K --50K,South,Resort,1,3,0,HB,Yes,No,No Deposit,Online,Yes,Check-Out,Yes,20,204,180,1,2,2,0,4
F,34,Latino,Mid-School,50K -- 100K,South,City Hotel,1,3,0,BB,No,No,Refundable,Online,Yes,Check-Out,Yes,10,143,157,3,7,1,0,4
M,52,African American,Grad,<25K,South,Resort,2,2,0,BB,No,No,No Deposit,Online,No,Check-Out,Yes,25,196,82,4,7,5,1,4
M,66,African American,College,<25K,West,City Hotel,3,2,0,BB,No,No,Refundable,Agent,Yes,Check-Out,Yes,5,244,178,1,2,5,1,5
F,49,caucasian,High-School,25K --50K,South,Resort,2,2,0,BB,Yes,No,No Deposit,Online,Yes,Check-Out,Yes,10,190,168,1,6,0,0,4
F,66,caucasian,Grad,25K --50K,South,Resort,2,2,0,BB,No,No,No Deposit,Online,Yes,Check-Out,Yes,5,243,178,1,2,5,1,4
F,60,caucasian,College,50K -- 100K,North,City Hotel,5,3,0,BB,Yes,No,No Deposit,Online,No,Check-Out,Yes,20,141,325,4,12,5,1,8
M,62,Asian American,College,25K --50K,North,City Hotel,5,2,1,BB,No,No,No Deposit,Online,Yes,Check-Out,Yes,5,167,80,3,7,4,0,8
F,50,caucasian,Grad,50K -- 100K,North,Resort,2,1,1,HB,Yes,No,Refundable,Online,No,Check-Out,Yes,30,118,307,1,8,1,0,4
F,32,caucasian,Mid-School,50K -- 100K,West,City Hotel,4,1,0,BB,No,No,No Deposit,Direct,Yes,Check-Out,Yes,15,112,181,1,5,0,0,5
F,51,African American,Mid-School,25K --50K,South,Airport Hotels,3,2,0,BB,Yes,Yes,Non-Refundable,Online,Yes,Check-Out,Yes,10,146,216,1,6,0,0,5
M,41,African American,High-School,50K -- 100K,South,City Hotel,2,2,0,HB,Yes,Yes,No Deposit,Online,Yes,Check-Out,No,0,131,110,2,4,3,0,4
M,27,Asian American,High-School,50K -- 100K,West,City Hotel,1,1,1,BB,No,No,Refundable,Online,Yes,Check-Out,Yes,10,240,53,2,7,2,0,3
M,55,Latino,College,<25K,North,City Hotel,3,2,0,BB,Yes,No,No Deposit,Direct,No,Check-Out,No,0,249,32,4,7,6,1,5
M,37,Latino,Grad,50K -- 100K,East,City Hotel,1,2,0,BB,No,No,No Deposit,Direct,Yes,Check-Out,Yes,40,170,316,1,6,5,1,3
M,28,caucasian,Mid-School,25K --50K,South,Airport Hotels,5,2,1,BB,Yes,Yes,No Deposit,Online,No,Check-Out,Yes,5,135,206,2,6,3,0,8
M,24,Asian American,Mid-School,>100K,South,Airport Hotels,2,1,0,BB,No,No,No Deposit,Online,No,Check-Out,Yes,20,183,152,3,5,3,0,3
F,24,Latino,Mid-School,<25K,North,City Hotel,4,3,0,BB,No,No,No Deposit,Direct,Yes,Check-Out,Yes,10,225,154,1,3,1,0,7
F,39,Latino,High-School,25K --50K,South,City Hotel,3,1,0,BB,No,No,No Deposit,Online,Yes,Check-Out,No,0,152,11,2,7,4,0,4
F,31,African American,Mid-School,25K --50K,South,City Hotel,2,3,0,BB,No,No,Refundable,Direct,Yes,Check-Out,Yes,10,232,153,2,3,1,0,5
F,55,Latino,College,>100K,South,City Hotel,5,2,0,BB,Yes,No,No Deposit,Online,Yes,Check-Out,Yes,25,230,152,3,5,3,0,7
F,63,African American,College,50K -- 100K,South,Resort,2,2,0,BB,No,No,No Deposit,Direct,Yes,Check-Out,Yes,10,208,41,1,7,3,0,4
M,32,African American,Mid-School,25K --50K,East,City Hotel,3,3,2,BB,Yes,No,Non-Refundable,Direct,Yes,Check-Out,No,0,123,154,1,3,1,0,8
M,69,caucasian,College,<25K,East,Resort,2,3,0,BB,No,No,No Deposit,Direct,Yes,Check-Out,Yes,5,211,274,4,8,0,0,5
M,19,caucasian,College,50K -- 100K,West,City Hotel,1,1,1,HB,Yes,Yes,Non-Refundable,Agent,No,Check-Out,Yes,10,204,152,1,6,3,0,3
F,36,Asian American,College,50K -- 100K,South,City Hotel,4,3,0,BB,No,No,No Deposit,Direct,No,Check-Out,Yes,25,120,204,1,6,1,0,7
M,40,Asian American,Grad,<25K,West,Airport Hotels,4,2,1,HB,No,No,Refundable,Agent,Yes,Check-Out,No,0,134,150,3,6,3,0,7
F,34,African American,College,50K -- 100K,South,City Hotel,2,1,0,HB,No,No,Refundable,Direct,Yes,Check-Out,No,0,108,142,4,6,4,0,3
M,56,caucasian,Grad,25K --50K,West,Resort,3,2,0,HB,No,No,Refundable,Agent,No,Check-Out,No,0,187,216,1,6,1,0,5
F,66,Latino,College,<25K,South,Airport Hotels,3,2,0,BB,No,No,No Deposit,Online,Yes,Check-Out,Yes,15,151,148,1,6,4,0,5
F,43,Asian American,Mid-School,50K -- 100K,South,City Hotel,1,1,2,HB,No,No,No Deposit,Online,Yes,Check-Out,Yes,20,245,313,1,8,2,0,4
F,29,Asian American,College,50K -- 100K,North,Airport Hotels,2,1,0,BB,No,No,No Deposit,Online,Yes,Check-Out,No,0,186,75,1,7,4,0,3
M,36,Latino,Grad,>100K,West,Airport Hotels,4,1,1,BB,No,No,No Deposit,Direct,Yes,Check-Out,Yes,25,168,126,1,6,1,0,6
M,59,Asian American,College,25K --50K,North,City Hotel,2,1,0,BB,No,No,Refundable,Online,Yes,Check-Out,Yes,25,134,131,1,4,5,1,3
F,53,Asian American,High-School,50K -- 100K,South,City Hotel,2,1,0,BB,No,No,Refundable,Direct,Yes,Check-Out,Yes,25,241,131,1,4,5,1,3
F,28,Latino,College,<25K,South,Resort,5,1,0,BB,No,No,Non-Refundable,Direct,Yes,Check-Out,Yes,10,247,143,2,8,3,0,6
F,67,African American,College,25K --50K,South,Airport Hotels,1,1,0,BB,No,No,No Deposit,Online,No,Check-Out,Yes,10,237,11,1,8,2,0,2
M,44,Latino,College,50K -- 100K,West,Airport Hotels,1,1,0,BB,Yes,No,No Deposit,Online,Yes,Check-Out,Yes,10,170,85,1,7,3,0,2
F,24,Latino,High-School,>100K,North,City Hotel,2,2,0,BB,Yes,Yes,No Deposit,Online,Yes,Check-Out,No,0,244,11,1,7,6,1,4
M,36,Latino,College,25K --50K,East,City Hotel,2,2,1,BB,No,No,No Deposit,Direct,Yes,Check-Out,Yes,25,160,27,1,7,6,1,5
M,43,Asian American,College,25K --50K,East,Resort,1,2,0,BB,Yes,No,No Deposit,Direct,Yes,Check-Out,Yes,20,170,137,2,3,0,0,3
F,34,African American,Grad,50K -- 100K,South,Resort,2,1,1,BB,No,No,Refundable,Online,No,Check-Out,Yes,25,141,15,3,7,1,0,4
F,65,caucasian,Grad,50K -- 100K,South,Resort,3,2,0,BB,No,No,No Deposit,Online,Yes,Check-Out,No,0,123,137,2,3,0,0,5
M,65,Asian American,Mid-School,25K --50K,South,Resort,3,1,0,HB,Yes,No,No Deposit,Online,Yes,Check-Out,Yes,25,144,46,2,7,2,0,4
F,30,Latino,Mid-School,<25K,North,Resort,5,1,0,HB,No,No,Refundable,Online,Yes,Check-Out,No,0,147,54,1,6,1,0,6
F,31,Asian American,Grad,<25K,South,Resort,2,2,0,BB,No,No,Non-Refundable,Online,Yes,Check-Out,Yes,20,179,68,1,6,3,0,4
M,49,African American,High-School,<25K,West,Airport Hotels,2,1,1,HB,Yes,No,Refundable,Online,Yes,Check-Out,Yes,5,145,331,1,11,5,1,4
M,41,caucasian,High-School,<25K,West,Airport Hotels,5,2,0,BB,No,No,No Deposit,Online,Yes,Check-Out,Yes,25,226,337,1,10,1,0,7
F,69,caucasian,Grad,25K --50K,South,Resort,5,1,0,HB,No,No,No Deposit,Direct,Yes,Check-Out,No,0,163,196,1,1,2,0,6
M,27,Asian American,High-School,50K -- 100K,South,Resort,1,2,0,BB,No,No,No Deposit,Direct,No,Check-Out,Yes,25,164,196,3,7,0,0,3
F,42,Latino,High-School,<25K,North,City Hotel,3,1,0,BB,No,No,No Deposit,Agent,No,Check-Out,Yes,15,139,238,1,1,3,0,4
M,46,African American,Grad,25K --50K,South,City Hotel,3,3,0,HB,Yes,No,No Deposit,Online,No,Check-Out,Yes,5,189,10,3,7,6,1,6
F,27,Latino,College,<25K,North,City Hotel,1,2,0,BB,Yes,Yes,No Deposit,Agent,No,Check-Out,Yes,20,187,48,3,6,4,0,3
M,58,African American,High-School,<25K,West,Resort,2,2,0,BB,No,No,Refundable,Direct,Yes,Check-Out,Yes,25,153,303,1,8,5,1,4
M,24,caucasian,Grad,>100K,East,Resort,5,3,0,BB,No,No,No Deposit,Agent,Yes,Check-Out,Yes,5,147,151,1,6,1,0,8
M,50,African American,Grad,25K --50K,West,City Hotel,3,1,1,HB,No,No,No Deposit,Agent,Yes,Check-Out,Yes,5,116,12,1,7,6,1,5
M,27,African American,Mid-School,>100K,South,City Hotel,3,3,0,HB,No,No,No Deposit,Direct,Yes,Check-Out,Yes,15,193,67,1,6,2,0,6
F,69,Asian American,Grad,25K --50K,East,Resort,2,2,1,BB,No,No,No Deposit,Online,Yes,Check-Out,Yes,25,191,120,1,6,6,1,5
F,35,Asian American,College,50K -- 100K,East,Resort,3,2,1,BB,Yes,Yes,No Deposit,Direct,Yes,Check-Out,Yes,30,227,86,1,6,3,0,6
M,61,African American,College,50K -- 100K,West,Resort,3,1,0,BB,Yes,No,No Deposit,Direct,Yes,Check-Out,No,0,118,116,2,5,4,0,4
F,24,African American,Grad,<25K,South,Airport Hotels,5,2,0,BB,No,No,Non-Refundable,Online,Yes,Check-Out,No,0,128,128,1,4,4,0,7
F,34,caucasian,Mid-School,50K -- 100K,North,Airport Hotels,2,1,0,BB,No,No,No Deposit,Direct,Yes,Check-Out,Yes,5,155,135,3,7,3,0,3
M,55,Asian American,High-School,<25K,West,Airport Hotels,2,1,0,BB,No,No,No Deposit,Online,Yes,Check-Out,Yes,5,173,21,2,7,5,1,3
F,29,African American,College,>100K,East,City Hotel,2,2,0,BB,No,No,Refundable,Agent,No,Check-Out,Yes,25,158,19,2,7,2,0,4
M,33,African American,High-School,50K -- 100K,South,City Hotel,1,1,0,HB,No,No,Non-Refundable,Online,Yes,Check-Out,Yes,5,119,56,1,7,0,0,2
M,63,Asian American,College,25K --50K,South,City Hotel,4,3,1,BB,No,No,Refundable,Online,No,Check-Out,Yes,20,191,20,3,7,5,1,8
M,45,caucasian,Mid-School,<25K,South,City Hotel,4,1,0,BB,No,No,No Deposit,Online,No,Check-Out,No,0,149,18,1,7,5,1,5
M,44,caucasian,College,50K -- 100K,South,City Hotel,3,3,1,BB,No,No,No Deposit,Agent,Yes,Check-Out,Yes,5,212,136,2,7,3,0,7
M,53,Latino,High-School,50K -- 100K,East,City Hotel,2,3,0,BB,Yes,Yes,Refundable,Online,Yes,Check-Out,Yes,20,148,91,1,5,0,0,5
F,63,caucasian,Grad,<25K,West,Resort,4,1,1,BB,No,No,Refundable,Online,Yes,Check-Out,No,0,194,39,2,8,0,0,6
M,61,Asian American,High-School,50K -- 100K,West,City Hotel,1,2,0,BB,Yes,Yes,Non-Refundable,Online,No,Check-Out,Yes,10,239,50,1,7,2,0,3
